Ly xspan
0.5	0.000000006
0.5	141.460458070
0.5	141.470821879
0.7071067811865476	0.000001616
0.7071067811865476	141.460455895
0.7071067811865476	141.600465021
1.0	0.000000612
1.0	141.460456707
1.0	143.188763801
1.4142135623730951	0.495829989
1.4142135623730951	141.531131497
1.4142135623730951	194.931427097
2.0	14.292766422
2.0	232.218836759
2.0	239.429560306
2.8284271247461903	17.179790863
2.8284271247461903	258.599885355
2.8284271247461903	267.783187754
4.0	20.148494922
4.0	285.254431080
4.0	293.187902080
5.656854249492381	23.250576269
5.656854249492381	312.469848606
5.656854249492381	318.136992177
8.0	26.558348730
8.0	340.365750133
8.0	343.951189766
11.313708498984761	30.130649508
11.313708498984761	368.585288502
11.313708498984761	370.594866286
16.0	34.304051722
16.0	393.844501858
16.0	402.480602606
